Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-11-30,30 Nov 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-01,01 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-02,02 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-03,03 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-04,,,,,
2021-12-05,,,,,
2021-12-06,06 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2021-12-07,07 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-08,08 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-09,09 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-10,10 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-11,,,,,
2021-12-12,,,,,
2021-12-13,13 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-14,14 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-15,15 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-16,16 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-17,17 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-18,,,,,
2021-12-19,,,,,
2021-12-20,20 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2021-12-21,21 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-22,22 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-23,23 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-24,24 Des 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-12-25,,,,,
2021-12-26,,,,,
2021-12-27,27 Des 21,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp250
2021-12-28,28 Des 21,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2021-12-29,29 Des 21,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2021-12-30,30 Des 21,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2021-12-31,31 Des 21,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-01,,,,,
2022-01-02,,,,,
2022-01-03,03 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
2022-01-04,04 Jan 22,DI Yogyakarta,Beras Kualitas Medium II,11150.0,Rp0
